cencus-location,eviction-location,number_filing_2020,number_filing_2021,number_filing_2022,number_filing_after_moratorium,number_RENTER_households_LATEST_from_eviction_website,filing_rate_after_mora,number_renter_household,filing_rate_2020,unemployment-rate,pop_over60,Total households,Average household size,Households with own children of the householder under 18 years,Households with one or more people under 18 years,Households with one or more people 60 years and over,Householder living alone,65 years and over,Owner-occupied housing units,Renter-occupied housing units
Connecticut,connecticut,6346,9300,17612,19461,465065,0.0418457635,469663.143,0.01351181181,6.0%,0.2405347189,"1,385,437",2.50,"372,439",29.4%,42.2%,28.5%,12.2%,66.1%,33.9%
Delaware,delaware,7413,8323,8655,10830,104542,0.1035947275,106092.558,0.06987295,5.8%,0.2568289691,"370,953",2.54,"90,822",28.0%,44.4%,28.1%,11.6%,71.4%,28.6%
Indiana,indiana,40915,52877,53210,66333,794237,0.08351789201,793844.85,0.05154029783,4.7%,0.2199506547,"2,602,770",2.50,"716,930",30.7%,38.7%,29.0%,11.4%,69.5%,30.5%
Minnesota,minnesota,4404,5562,17148,18332,620733,0.02953282651,620444.628,0.007098135436,3.8%,0.2222605544,"2,207,988",2.48,"619,373",30.0%,38.0%,28.8%,11.5%,71.9%,28.1%
Missouri,missouri,23343,26067,25959,32433,802535,0.0404131907,802829.748,0.02907590315,4.5%,0.2340694887,"2,440,212",2.44,"640,224",29.5%,39.9%,29.8%,11.9%,67.1%,32.9%
New Mexico,newmexico,9033,9187,9239,11186,252353,0.04432679619,253681.6,0.03560762783,6.6%,0.2387577425,"792,755",2.59,"199,483",29.3%,43.2%,31.0%,12.7%,68.0%,32.0%
"Greenville CCD, Greenville County, South Carolina","Greenville, SC",9734,9819,10388,13155,62747,0.2096514574,47300.513,0.2057905799,4.2%,0.2152456809,"117,371",2.45,"31,729",30.0%,37.1%,31.1%,10.6%,59.7%,40.3%
"Phoenix city, Arizona","Phoenix, AZ",37690,41383,42092,59200,586804,0.1008854745,257890.74,0.1461471629,5.4%,0.1602583661,"580,835",2.82,"181,424",35.8%,31.7%,28.2%,8.5%,55.6%,44.4%
"Bridgeport city, Connecticut","Bridgeport, CT",1291,1907,3567,3908,112078,0.03486857367,29795.126,0.04332923445,11.5%,0.1752796282,"51,638",2.72,"15,929",35.2%,36.3%,30.9%,12.0%,42.3%,57.7%
"Hartford city, Connecticut","Hartford, CT",1974,2876,5546,6107,125768,0.04855766173,35839.222,0.05507932064,11.3%,0.1671168267,"47,722",2.41,"12,289",30.7%,32.6%,39.3%,11.0%,24.9%,75.1%
"Wilmington city, Delaware","Wilmington, DE",4808,5293,5928,7356,66082,0.1113162435,16695.896,0.287974961,9.8%,0.2015993206,"29,708",2.26,"5,915",23.0%,35.2%,47.1%,13.4%,43.8%,56.2%
"Gainesville city, Florida","Gainesville, FL",1037,1260,1573,1855,44082,0.04208066785,31373.34,0.03305354164,5.1%,0.15286915,"51,180",2.33,"7,190",16.0%,27.2%,42.8%,9.9%,38.7%,61.3%
"Jacksonville city, Florida","Jacksonville, FL",7669,8597,10348,11869,155567,0.07629510115,152080.724,0.05042716656,5.5%,0.1960901419,"348,809",2.53,"90,476",29.0%,35.3%,31.7%,10.0%,56.4%,43.6%
"Tampa city, Florida","Tampa, FL",11592,13697,13510,16340,352376,0.04637092197,79449.435,0.1459041213,5.8%,0.182765362,"156,705",2.45,"37,522",27.1%,32.5%,35.8%,10.1%,49.3%,50.7%
"Indianapolis city (balance), Indiana","Indianapolis, IN",14484,19721,19713,25500,171814,0.1484163107,157699.5,0.09184556704,5.7%,0.1816371765,"342,825",2.49,"82,766",27.5%,32.6%,37.2%,10.2%,54.0%,46.0%
