filing_rate_2020,filing_increase_rate_2021,filing_rate_21_based_on_deno_20,unemployment-rate,pop_over60,Total households,avg_household_size,Households with own children of the householder under 18 years,pct_Households with own children of the householder under 18 years,Households with one or more people under 18 years,Households with one or more people 60 years and over,Householder living alone,65 years and over,Owner-occupied housing units,Renter-occupied housing units,pct_White alone,pct_Black or African American alone,pct_American Indian and Alaska Native alone,pct_Asian alone,pct_Native Hawaiian and Other Pacific Islander alone,pct_Some other race alone,pct_Two or more races:,pct_below_50_poverty_level,pct_below_200_poverty_level,pct_below_500_poverty_level,mean_income_USD,pct_fam_No_workers_in_past_12M,pct_family_household,pct_non_family_household
0.013512,0.006290,0.019801,0.060000,0.240535,1385437.000000,2.500000,372439.000000,0.268824,0.294000,0.422000,0.285000,0.122000,0.661000,0.339000,0.742181,0.107031,0.002543,0.045725,0.000333,0.053834,0.048353,0.027662,0.169752,0.508007,115337.000000,0.126000,0.651777021,0.348222979
0.069873,0.008577,0.078450,0.058000,0.256829,370953.000000,2.540000,90822.000000,0.244834,0.280000,0.444000,0.281000,0.116000,0.714000,0.286000,0.674384,0.219902,0.003679,0.039815,0.000729,0.022670,0.038822,0.029768,0.196480,0.601789,92308.000000,0.170000,0.655101859,0.344898141
0.051540,0.015068,0.066609,0.047000,0.219951,2602770.000000,2.500000,716930.000000,0.275449,0.307000,0.387000,0.290000,0.114000,0.695000,0.305000,0.822822,0.094361,0.002095,0.023698,0.000329,0.023456,0.033238,0.037314,0.235659,0.696283,76984.000000,0.144000,0.645232579,0.354767421
0.007098,0.001866,0.008965,0.038000,0.222261,2207988.000000,2.480000,619373.000000,0.280515,0.300000,0.380000,0.288000,0.115000,0.719000,0.281000,0.816431,0.064251,0.009742,0.049149,0.000393,0.021204,0.038829,0.022546,0.163910,0.568048,96814.000000,0.126000,0.636234436,0.363765564
0.029076,0.003393,0.032469,0.045000,0.234069,2440212.000000,2.440000,640224.000000,0.262364,0.295000,0.399000,0.298000,0.119000,0.671000,0.329000,0.812854,0.113982,0.003964,0.020217,0.001451,0.012538,0.034995,0.035104,0.242446,0.688876,78194.000000,0.157000,0.635623462,0.364376538
0.035608,0.000607,0.036215,0.066000,0.238758,792755.000000,2.590000,199483.000000,0.251633,0.293000,0.432000,0.310000,0.127000,0.680000,0.320000,0.699969,0.020732,0.093068,0.016068,0.000884,0.088068,0.081211,0.057572,0.326082,0.737101,70241.000000,0.189000,0.626592074,0.373407926
0.205791,0.001797,0.207588,0.042000,0.215246,117371.000000,2.450000,31729.000000,0.270331,0.300000,0.371000,0.311000,0.106000,0.597000,0.403000,0.677938,0.199614,0.004446,0.029853,0.004020,0.044186,0.039943,0.041158,0.241854,0.635206,88315.000000,0.135000,0.624132026,0.375867974
0.146147,0.014320,0.160467,0.054000,0.160258,580835.000000,2.820000,181424.000000,0.312350,0.358000,0.317000,0.282000,0.085000,0.556000,0.444000,0.682332,0.071036,0.020332,0.038627,0.001898,0.103067,0.082709,0.047062,0.304014,0.703945,85527.000000,0.109000,0.637675071,0.362324929
0.043329,0.020675,0.064004,0.115000,0.175280,51638.000000,2.720000,15929.000000,0.308474,0.352000,0.363000,0.309000,0.120000,0.423000,0.577000,0.380729,0.343601,0.005186,0.038293,0.000855,0.164467,0.066869,0.079295,0.400533,0.799888,64887.000000,0.109000,0.62496611,0.37503389
0.055079,0.025168,0.080247,0.113000,0.167117,47722.000000,2.410000,12289.000000,0.257512,0.307000,0.326000,0.393000,0.110000,0.249000,0.751000,0.295988,0.371868,0.004586,0.025296,0.000653,0.204849,0.096761,0.111495,0.477546,0.872217,54231.000000,0.167000,0.54033779,0.45966221
