filing_rate_2020,unemployment-rate,pop_over60,Total households,Average household size,Households with own children of the householder under 18 years,Households with one or more people under 18 years,Households with one or more people 60 years and over,Householder living alone,65 years and over,Owner-occupied housing units,Renter-occupied housing units,pct_White alone,pct_Black or African American alone,pct_American Indian and Alaska Native alone,pct_Asian alone,pct_Native Hawaiian and Other Pacific Islander alone,pct_Some other race alone,pct_Two or more races:
0.01351181181,0.06,0.2405347189,1385437,2.5,372439,0.294,0.422,0.285,0.122,0.661,0.339,0.7421811044,0.1070314397,0.002542746228,0.04572462106,0.0003330020117,0.05383401824,0.04835306839
0.06987295,0.058,0.2568289691,370953,2.54,90822,0.28,0.444,0.281,0.116,0.714,0.286,0.6743837574,0.2199024677,0.003678905918,0.03981485596,0.0007285473799,0.02266970762,0.03882175804
0.05154029783,0.047,0.2199506547,2602770,2.5,716930,0.307,0.387,0.29,0.114,0.695,0.305,0.8228224641,0.09436062365,0.002095001369,0.02369830308,0.0003292571645,0.02345639986,0.03323795079
0.007098135436,0.038,0.2222605544,2207988,2.48,619373,0.3,0.38,0.288,0.115,0.719,0.281,0.8164309772,0.06425113113,0.009742211213,0.04914890023,0.0003930240639,0.02120437144,0.0388293847
0.02907590315,0.045,0.2340694887,2440212,2.44,640224,0.295,0.399,0.298,0.119,0.671,0.329,0.8128536812,0.1139818359,0.003963645627,0.02021665012,0.001451137789,0.01253755617,0.03499549326
0.03560762783,0.066,0.2387577425,792755,2.59,199483,0.293,0.432,0.31,0.127,0.68,0.32,0.6999686698,0.02073226734,0.09306821439,0.01606803175,0.000883634451,0.08806778759,0.08121139464
0.2057905799,0.042,0.2152456809,117371,2.45,31729,0.3,0.371,0.311,0.106,0.597,0.403,0.6779384597,0.1996135965,0.004446008405,0.02985322082,0.004019678832,0.04418601504,0.03994302071
0.1461471629,0.054,0.1602583661,580835,2.82,181424,0.358,0.317,0.282,0.085,0.556,0.444,0.6823317587,0.0710355989,0.02033197823,0.03862708044,0.001898189966,0.1030666501,0.08270874361
0.04332923445,0.115,0.1752796282,51638,2.72,15929,0.352,0.363,0.309,0.12,0.423,0.577,0.3807287572,0.3436013075,0.005185706208,0.03829285448,0.0008550898534,0.1644668791,0.06686940571
0.05507932064,0.113,0.1671168267,47722,2.41,12289,0.307,0.326,0.393,0.11,0.249,0.751,0.2959877274,0.3718675795,0.004585920734,0.02529600405,0.0006528001044,0.2048486728,0.09676129548
0.287974961,0.098,0.2015993206,29708,2.26,5915,0.23,0.352,0.471,0.134,0.438,0.562,0.3454815654,0.5724152572,0.001670087043,0.01341730946,0.0001556860802,0.03392541221,0.03293468261
0.03305354164,0.051,0.15286915,51180,2.33,7190,0.16,0.272,0.428,0.099,0.387,0.613,0.6454782915,0.207123665,0.004108943126,0.06725494158,0.001010395851,0.01305281751,0.06197094551
0.05042716656,0.055,0.1960901419,348809,2.53,90476,0.29,0.353,0.317,0.1,0.564,0.436,0.5628307523,0.3088063221,0.002100858959,0.04834191701,0.0006748012162,0.02573663029,0.05150871812
0.1459041213,0.058,0.182765362,156705,2.45,37522,0.271,0.325,0.358,0.101,0.493,0.507,0.6160636707,0.2332109156,0.002389419871,0.04493170199,0.0007476408899,0.029357534,0.07329911698
0.09184556704,0.057,0.1816371765,342825,2.49,82766,0.275,0.326,0.372,0.102,0.54,0.46,0.5895935872,0.2896466131,0.002154391543,0.03720092433,0.0001725353611,0.03888371922,0.04234822927
0.07863813013,0.06,0.1914769297,39709,2.5,10993,0.301,0.362,0.368,0.144,0.576,0.424,0.5995461894,0.2536762558,0.004771828682,0.01822059482,0.0004674444423,0.05341526596,0.06990242097
0.03949942418,0.085,0.2143954362,154826,2.43,27639,0.213,0.381,0.465,0.138,0.498,0.502,0.3340021316,0.5921523122,0.001847928046,0.02889464254,0.00007923342935,0.0175131438,0.02551060833
0.0153038736,0.069,0.1652179085,273188,2.35,51313,0.214,0.301,0.36,0.101,0.353,0.647,0.5211162788,0.2419696921,0.003085622768,0.09821912999,0.0005280520392,0.06263074365,0.07245048061
0.01976745901,0.052,0.1477165659,178886,2.28,37481,0.227,0.252,0.403,0.089,0.474,0.526,0.6285309138,0.1887095558,0.01382214936,0.05912337234,0.0002732394897,0.04996042738,0.05958034183
