,sum_of_filings,renter_households
"Albuquerque, NM",6595,99091
"Austin, TX",7341,225010
"Boston, MA",4031,292933
"Bridgeport, CT",3908,112078
"Charleston, SC",8409,61209
"Cincinnati, OH",12029,143889
"Cleveland, OH",2801,99850
"Columbus, OH",19185,238402
"Dallas, TX",39373,464121
"Fort Worth, TX",36707,381009
"Gainesville, FL",1855,44082
"Greenville, SC",13155,62747
"Hartford, CT",6107,125768
"Houston, TX",72588,768357
"Indianapolis, IN",25500,171814
"Jacksonville, FL",11869,155567
"Kansas City, MO",7455,119674
"Las Vegas, NV",52838,362272
"Memphis, TN",22997,157847
"Milwaukee, WI",12795,193121
"Minneapolis-Saint Paul, MN",8642,275972
"New Orleans, LA",5520,79579
"New York, NY",81321,2132397
"Philadelphia, PA",12013,282465
"Phoenix, AZ",59200,586804
"Pittsburgh, PA",9543,193411
"Richmond, VA",8723,82080
"South Bend, IN",2597,32420
"St Louis, MO",12402,207619
"Tampa, FL",16340,352376
"Wilmington, DE",7356,66082
connecticut,19461,465065
delaware,10830,104542
indiana,66333,794237
minnesota,18332,620733
missouri,32433,802535
newmexico,11186,252353
