,city,year,sum_of_filings,state
0,"Albuquerque, NM",2020,5627,
1,"Albuquerque, NM",2021,5330,
2,"Albuquerque, NM",2022,5523,
3,"Austin, TX",2020,3396,
4,"Austin, TX",2021,1750,
5,"Austin, TX",2022,7356,
6,"Boston, MA",2020,2705,
7,"Boston, MA",2021,3371,
8,"Boston, MA",2022,3571,
9,"Bridgeport, CT",2020,1291,
10,"Bridgeport, CT",2021,1907,
11,"Bridgeport, CT",2022,3567,
12,"Charleston, SC",2020,6950,
13,"Charleston, SC",2021,5635,
14,"Charleston, SC",2022,7226,
15,"Cincinnati, OH",2020,7888,
16,"Cincinnati, OH",2021,9915,
17,"Cincinnati, OH",2022,9714,
18,"Cleveland, OH",2020,4395,
19,"Cleveland, OH",2021,4310,
20,"Cleveland, OH",2022,1195,
21,"Columbus, OH",2020,12120,
22,"Columbus, OH",2021,15435,
23,"Columbus, OH",2022,15827,
24,"Dallas, TX",2020,21198,
25,"Dallas, TX",2021,23478,
26,"Dallas, TX",2022,33221,
27,"Fort Worth, TX",2020,19505,
28,"Fort Worth, TX",2021,21672,
29,"Fort Worth, TX",2022,31935,
30,"Gainesville, FL",2020,1037,
31,"Gainesville, FL",2021,1260,
32,"Gainesville, FL",2022,1573,
33,"Greenville, SC",2020,9734,
34,"Greenville, SC",2021,9819,
35,"Greenville, SC",2022,10388,
36,"Hartford, CT",2020,1974,
37,"Hartford, CT",2021,2876,
38,"Hartford, CT",2022,5546,
39,"Houston, TX",2020,34630,
40,"Houston, TX",2021,38193,
41,"Houston, TX",2022,63277,
42,"Indianapolis, IN",2020,14484,
43,"Indianapolis, IN",2021,19721,
44,"Indianapolis, IN",2022,19713,
45,"Jacksonville, FL",2020,7669,
46,"Jacksonville, FL",2021,8597,
47,"Jacksonville, FL",2022,10348,
48,"Kansas City, MO",2020,4453,
49,"Kansas City, MO",2021,5052,
50,"Kansas City, MO",2022,6161,
51,"Las Vegas, NV",2020,20249,
52,"Las Vegas, NV",2021,38056,
53,"Las Vegas, NV",2022,36953,
54,"Memphis, TN",2020,16217,
55,"Memphis, TN",2021,16058,
56,"Memphis, TN",2022,18022,
57,"Milwaukee, WI",2020,8990,
58,"Milwaukee, WI",2021,8086,
59,"Milwaukee, WI",2022,10556,
60,"Minneapolis-Saint Paul, MN",2020,1860,
61,"Minneapolis-Saint Paul, MN",2021,2222,
62,"Minneapolis-Saint Paul, MN",2022,8354,
63,"New Orleans, LA",2020,3070,
64,"New Orleans, LA",2021,3110,
65,"New Orleans, LA",2022,4441,
66,"New York, NY",2020,75110,
67,"New York, NY",2021,42192,
68,"New York, NY",2022,75696,
69,"Philadelphia, PA",2020,7690,
70,"Philadelphia, PA",2021,6800,
71,"Philadelphia, PA",2022,10770,
72,"Phoenix, AZ",2020,37690,
73,"Phoenix, AZ",2021,41383,
74,"Phoenix, AZ",2022,42092,
75,"Pittsburgh, PA",2020,5178,
76,"Pittsburgh, PA",2021,5788,
77,"Pittsburgh, PA",2022,8458,
78,"Richmond, VA",2020,8458,
79,"Richmond, VA",2021,4538,
80,"Richmond, VA",2022,8902,
81,"South Bend, IN",2020,1324,
82,"South Bend, IN",2021,1873,
83,"South Bend, IN",2022,2082,
84,"St Louis, MO",2020,7386,
85,"St Louis, MO",2021,8525,
86,"St Louis, MO",2022,10444,
87,"Tampa, FL",2020,11592,
88,"Tampa, FL",2021,13697,
89,"Tampa, FL",2022,13510,
90,"Wilmington, DE",2020,4808,
91,"Wilmington, DE",2021,5293,
92,"Wilmington, DE",2022,5928,
0,,2020,6346,connecticut
1,,2021,9300,connecticut
2,,2022,17612,connecticut
3,,2020,7413,delaware
4,,2021,8323,delaware
5,,2022,8655,delaware
6,,2020,40915,indiana
7,,2021,52877,indiana
8,,2022,53210,indiana
9,,2020,4404,minnesota
10,,2021,5562,minnesota
11,,2022,17148,minnesota
12,,2020,23343,missouri
13,,2021,26067,missouri
14,,2022,25959,missouri
15,,2020,9033,newmexico
16,,2021,9187,newmexico
17,,2022,9239,newmexico
